ID	Acinonyx_jubatus	Canis_lupus_dingo	Canis_lupus_familiaris	Equus_asinus	Equus_caballus	Equus_przewalskii	Felis_catus	Felis_nigripes	Homo_sapiens	Lycaon_pictus	Lynx_canadensis	Lynx_pardinus	Mus_musculus	Myotis_lucifugus	Panthera_leo	Panthera_onca	Panthera_pardus	Panthera_tigris	Pipistrellus_pipistrellus	Prionailurus_bengalensis_euptilurus	Pteropus_alecto	Pteropus_vampyrus	Puma_concolor	Rattus_norvegicus	Rhinolophus_ferrumequinum	Rousettus_aegyptiacus	Vulpes_lagopus	Vulpes_vulpes
Acinonyx_jubatus	1.0	0.48948444398817703	0.48360791429515665	0.3240388523062442	0.3084044671366859	0.3245710559072629	0.9798271114033956	0.8858655734318666	0.2180946718907154	0.5491806388461289	0.9687080305439595	0.970309379043011	0.25272326996723954	0.2758945557407233	0.9962919005821473	0.9695950191120863	0.9957637413210986	0.9923758809607865	0.2630779933096834	0.9839979458973767	0.4840532350733226	0.48053450585642377	0.9638350070799342	0.27211114555715976	0.3917248435229212	0.4905389728060199	0.3242209243373999	0.5195845414731997
Canis_lupus_dingo	0.48948444398817703	1.0	0.984732717440588	0.33951271992015397	0.3251831803434413	0.3394740133610838	0.4598672167695277	0.4060065793081591	0.2296149290102431	0.9487628418431671	0.4447065169547403	0.4427139030328232	0.23975051950587564	0.28911363086233455	0.48218658687810645	0.44496284445652223	0.47906631400249	0.47226113626413535	0.27604597498787137	0.4780690073389664	0.48714387239902723	0.48455228658578614	0.44090659907680374	0.2618866062039479	0.3868435366937544	0.4972551341133803	0.6716887017966213	0.9528667158272506
Canis_lupus_familiaris	0.48360791429515665	0.984732717440588	0.9999999999999996	0.33293249237820965	0.3180667783322062	0.33326779202816176	0.454310425503816	0.4001459187199177	0.22482230079269744	0.9390593314815421	0.4398229368127564	0.4384346298552565	0.231548074437737	0.28229173133546576	0.4763282738619188	0.4394987432317898	0.47353943275668486	0.46793392013418045	0.26903247106719863	0.47267487154441923	0.4735659833379865	0.4702746826869799	0.43692466000319774	0.25279592259462697	0.37745974206153066	0.4831886377063882	0.6785086087768831	0.9393751298809572
Equus_asinus	0.3240388523062442	0.33951271992015397	0.33293249237820965	1.0	0.9239041143473178	0.9953089219705746	0.2962178420394365	0.2567245588844149	0.22620141656116233	0.37578778324826856	0.2853295645963993	0.28029046044337724	0.24927596141472286	0.3026632891629283	0.3172155725755908	0.2866074056193422	0.3136563883571686	0.30414060198222964	0.28679079853630757	0.3119913249667156	0.5806019520107847	0.5775768215640172	0.2788390710478985	0.2681873946196303	0.4755253554538238	0.5881787653832773	0.23443269406503103	0.3543247565930873
Equus_caballus	0.3084044671366859	0.3251831803434413	0.3180667783322062	0.9239041143473178	0.9999999999999998	0.9318353189666041	0.2825214617492928	0.24826946738071265	0.2202115042492004	0.35948325529849035	0.27139743709997255	0.26581018056255	0.24693184303881668	0.2923843905144239	0.3020221920125141	0.27313567942365674	0.2983481694636478	0.2872340128071577	0.2802365223418376	0.2966175907855937	0.5550892128674303	0.5528859669273021	0.26409084286580603	0.26699844904416425	0.4548665111671857	0.5633522378971474	0.22727288030742462	0.33850608780307634
Equus_przewalskii	0.3245710559072629	0.3394740133610838	0.33326779202816176	0.9953089219705746	0.9318353189666041	0.9999999999999998	0.2970607252263985	0.25743778977497184	0.22610481744950423	0.3762995775653825	0.2858766389227434	0.2811726347140612	0.25052292086930184	0.3036738802383783	0.3176872285825559	0.2869702527974557	0.3144333900216135	0.3055784252568088	0.2874688429255926	0.3124622366407827	0.5819350901729373	0.5785123088549684	0.2798927194397134	0.2707767682181471	0.4761908750326109	0.5880930738514574	0.23453259865937412	0.3550816394722687
Felis_catus	0.9798271114033956	0.4598672167695277	0.454310425503816	0.2962178420394365	0.2825214617492928	0.2970607252263985	0.9999999999999994	0.9226746636766437	0.20463338688467608	0.5129697706415115	0.9932765234121633	0.9932281571186952	0.2398197949768695	0.2563177970178846	0.977285836679094	0.983077013853354	0.980988093064104	0.9722851312821009	0.24519467271450376	0.9853815189675892	0.44373447281250367	0.44095546179501416	0.9880372393213187	0.2550531442954831	0.3602366844428117	0.4496932184667558	0.3055881582445842	0.4890091268619251
Felis_nigripes	0.8858655734318666	0.4060065793081591	0.4001459187199177	0.2567245588844149	0.24826946738071265	0.25743778977497184	0.9226746636766437	1.0	0.17845072722684552	0.4513011570470166	0.9155484703836604	0.9169141677202799	0.20739634962594355	0.22452283951086874	0.8829924379046468	0.9115549559544542	0.8884616346220907	0.8788526567370633	0.21448603542730593	0.8997951431731654	0.38726476128741305	0.3856922453947722	0.9140566981713847	0.22557158107920125	0.3108333006085302	0.3916335911626673	0.2727355242507458	0.4344236454909216
Homo_sapiens	0.2180946718907154	0.2296149290102431	0.22482230079269744	0.22620141656116233	0.2202115042492004	0.22610481744950423	0.20463338688467608	0.17845072722684552	1.0	0.24485924430072897	0.1970024389969302	0.1932811099349761	0.22989914209800422	0.19179214535686762	0.21459151076207963	0.1981114935819034	0.213273416274208	0.20450232499087728	0.18853255651532533	0.21146812988168862	0.3421813298243688	0.34120347203804813	0.19205253280184784	0.19235048819531514	0.2684981180278182	0.3477219798237612	0.16123445855001498	0.2352310591197696
Lycaon_pictus	0.5491806388461289	0.9487628418431671	0.9390593314815421	0.37578778324826856	0.35948325529849035	0.3762995775653825	0.5129697706415115	0.4513011570470166	0.24485924430072897	1.0	0.49600625362786965	0.49555664821399414	0.2637366286104568	0.31831636531825225	0.5409385765225214	0.4968756622883854	0.5375077552832401	0.5324796796032828	0.30401837532236087	0.5357194754388825	0.5461160267850043	0.5419353103152759	0.4944725495991916	0.289242297935022	0.4297215843330662	0.5577877017321647	0.6515270679577714	0.9800991215836236
